,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject
2276,Learn PHP Object Oriented Features with Simple Examples,True,20,1723,28,7,All Levels,1 hour,Web Development
2499,Making Corporate Flyers in Photoshop,True,20,4,3,7,All Levels,31 mins,Graphic Design
754,Clarinet Lessons For Beginners,True,95,11,0,41,Beginner Level,3 hours,Musical Instruments
1360,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",True,150,2096,48,29,All Levels,41 mins,Business Finance
1844,Instant Harmonica - play the groovy Beatles Yesterday today!,True,40,295,7,14,All Levels,1 hour,Musical Instruments
3111,Spice up your playing with some easy Flamenco techniques!,True,40,120,11,47,Intermediate Level,44 mins,Musical Instruments
3428,Trading Options For Consistent Returns: Calendar Spreads,True,200,1214,69,20,All Levels,1.5 hours,Business Finance
3359,The Power Modeling Bootcamp: Advanced Excel in 10 Days,True,150,1680,158,76,All Levels,5.5 hours,Business Finance
2417,Learn to Trade the Stock Market without Blowing Your Profits,True,60,6967,16,34,All Levels,1 hour,Business Finance
1136,Easy Illustration and 2D Animation,True,65,56,16,7,All Levels,34 mins,Graphic Design
3500,Ultimate guide to Social Media Web development integration,True,200,11011,13,36,All Levels,2.5 hours,Web Development
1938,Introduction to Trade Theory (Technical Analysis) For Stocks,True,20,45,4,6,Beginner Level,1 hour,Business Finance
2344,Learn to Create a Mandala with Adobe Illustrator,True,50,7,0,28,All Levels,4.5 hours,Graphic Design
1051,Dibujo digital básico: cómo ilustrar en Photoshop,True,20,155,36,90,Beginner Level,5 hours,Graphic Design
2953,Python Algo Trading: FX Trading with Oanda,True,200,453,42,33,Intermediate Level,3 hours,Business Finance
1857,Instant Harmonica - play Whiskey in the Jar + Molly Malone!,True,40,21,3,27,All Levels,2 hours,Musical Instruments
2083,Laravel Homestead,False,Free,3883,110,9,Beginner Level,1 hour,Web Development
1928,Introduction to Photoshop CC: Tutorials for Beginners,True,20,262,0,12,Beginner Level,1 hour,Graphic Design
233,Affinity Designer - tworzenie wzorków,True,20,1,1,11,Beginner Level,1.5 hours,Graphic Design
3115,Spring Core DevOps on AWS,True,100,1626,115,78,Intermediate Level,6.5 hours,Web Development
1685,How To Play The Cajon: For Beginners,True,30,144,15,25,All Levels,1.5 hours,Musical Instruments
2140,Learn Bootstrap 4 by Example,False,Free,5542,54,9,All Levels,1 hour,Web Development
751,Chrome Extensions : Develop 5 chrome extensions from scratch,False,Free,3655,85,44,Beginner Level,2 hours,Web Development
847,Corel Painter 2016,True,40,41,9,86,All Levels,8 hours,Graphic Design
2407,Learn to Trade for Profit: Finding Winning Stocks - Chinese,True,95,264,0,79,All Levels,3 hours,Business Finance
3560,Web Development Essential Skills - Complete HTML and CSS,True,95,1388,11,58,All Levels,7 hours,Web Development
1529,Guitarra para principiantes,True,20,7,1,46,Beginner Level,2 hours,Musical Instruments
132,Accounting Standards Basics (Professional Course Level),True,20,2222,9,12,All Levels,42 mins,Business Finance
1232,Financial Accounting Plus Excel and SAP Crash Course.,True,20,18,2,11,Beginner Level,1 hour,Business Finance
3543,Vue JS - Mastering Web Apps,True,80,13457,215,69,All Levels,4.5 hours,Web Development
646,"Build Your Startup with No Coding (Design, Develop & Ship)",True,30,775,245,82,All Levels,8 hours,Web Development
3568,Web Elements Design With Photoshop,True,45,5072,38,44,All Levels,5 hours,Graphic Design
3382,The Ultimate Web Development Course,True,50,9881,329,136,All Levels,12 hours,Web Development
1940,Introduction to Value Growth Investing,False,Free,2768,83,10,All Levels,1 hour,Business Finance
943,Creating an animated greeting card via Google Slides,True,20,549,10,8,Beginner Level,1 hour,Graphic Design
3121,Start Trading Stocks Using Technical Analysis!,True,25,3190,244,45,All Levels,4 hours,Business Finance
1324,Forex Harmonic Trading- With Multiple Forex Chart Examples,True,135,313,16,25,All Levels,2.5 hours,Business Finance
2272,Learn PHP CodeIgniter Framework with AJAX and Bootstrap,True,75,1634,52,21,All Levels,2.5 hours,Web Development
1039,Design your own Social Media Logo Icons in Adobe Illustrator,True,50,2424,29,15,Beginner Level,1.5 hours,Graphic Design
3055,Saxophone Essentials: Beginners Course,True,40,3,0,16,Beginner Level,1.5 hours,Musical Instruments
3538,Visualizing Data,True,40,149,2,63,Intermediate Level,6.5 hours,Business Finance
3505,Ultimate Photoshop Training: From Beginner to Pro,True,200,5326,447,150,Beginner Level,11.5 hours,Graphic Design
1171,ES6 / EcmaScript 6 for beginners an introduction,False,Free,3227,19,21,Intermediate Level,2 hours,Web Development
954,"Credit concepts and checklist for bankers, credit analyst",True,20,0,0,10,Beginner Level,2.5 hours,Business Finance
793,Complete ASP NET MVC Web Development - Newbie to Ninja!,True,195,6073,627,66,All Levels,9 hours,Web Development
2519,master course - realistisch zeichnen lernen,True,20,280,46,33,All Levels,5 hours,Graphic Design
3467,Tune that Sour Note on Your Piano,True,20,0,0,6,All Levels,33 mins,Musical Instruments
1523,Guitar: Learn 12 Must Know Beginner Rock Guitar Riffs,True,50,1548,10,20,Beginner Level,2 hours,Musical Instruments
2042,Joomla for Beginners - Learn how to build a website with CMS,True,95,583,7,35,Beginner Level,3.5 hours,Web Development
1788,Ilustración de la A a la Z,True,20,33,3,19,All Levels,3 hours,Graphic Design
3501,Ultimate Guide To Trading Engulfing Candlestick Strategy,True,200,185,36,25,All Levels,2.5 hours,Business Finance
563,Bootstrap 4 Theme Development Masterclass,True,150,2641,28,15,All Levels,39 mins,Web Development
2061,JSON Crash Course for Beginners,True,45,3323,90,7,Beginner Level,38 mins,Web Development
3681,Zombie Apocalypse Photoshop Actions,True,50,12,1,15,All Levels,1.5 hours,Graphic Design
1594,How to Create A Website: An HTML Tutorial and CSS Tutorial,True,65,3012,260,330,All Levels,32.5 hours,Web Development
1664,How To Make Money With A Cover Band,True,50,2498,12,25,All Levels,3.5 hours,Musical Instruments
2925,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,True,20,23764,490,58,Beginner Level,5.5 hours,Web Development
2950,Pure Pentatonic Power: Rock and Blues Guitar Soloing,True,50,128,10,18,All Levels,2 hours,Musical Instruments
2259,Learn Nodejs by building 12 projects,True,50,10150,997,90,All Levels,16 hours,Web Development
2626,MQL4 Programming for Traders: Build Robust Trading Robots!,True,195,1367,33,74,All Levels,7 hours,Business Finance
2594,MetaTrader4 Platform Training,False,Free,1819,45,15,Beginner Level,1.5 hours,Business Finance
829,Condor Broken Wing Butterfly Options Trading Course System,False,Free,16,0,15,All Levels,1.5 hours,Business Finance
1538,Have Fun with Beginner Blues Piano,True,75,321,24,27,All Levels,2.5 hours,Musical Instruments
1424,Gestalt Principles & Pattern Design : Create Festive Pattern,True,50,327,0,14,All Levels,1 hour,Graphic Design
3346,The Intelligent Investor,True,30,384,40,44,All Levels,10.5 hours,Business Finance
359,Aprende el acordeón de oído y con técnica –Nivel Intermedio–,True,25,38,7,51,Intermediate Level,4.5 hours,Musical Instruments
2266,Learn Oud 2,True,20,81,11,27,Intermediate Level,3 hours,Musical Instruments
2453,Learning Photoshop CC 2015,True,50,311,49,163,All Levels,10.5 hours,Graphic Design
945,Creating animation puzzles with Google Slides,True,20,679,5,9,Intermediate Level,1 hour,Graphic Design
2145,Learn Building Your Own Website Without Coding,True,50,7660,7,19,All Levels,2 hours,Web Development
1414,Fundraising Success: The Art & Science of Major Gifts,True,50,38,9,25,Intermediate Level,2.5 hours,Business Finance
2821,Piano With Willie: Jazz Kids - Vol 1,True,40,28,3,32,Beginner Level,4.5 hours,Musical Instruments
1410,Fundamentals of Investing!,True,20,3125,54,13,Beginner Level,2 hours,Business Finance
3492,Ultimate Angular 4 (previously Angular 2) with Bootstrap 4,True,50,11384,1846,80,All Levels,5.5 hours,Web Development
2247,Learn Knockout JS Framework from GroundUp,True,40,633,104,31,All Levels,5 hours,Web Development
1127,誰でもわかる Adobe Illustrator CS6,True,20,11,2,15,Beginner Level,3 hours,Graphic Design
3565,Web Development With Google Maps,True,50,222,9,60,Beginner Level,8.5 hours,Web Development
1776,IFRS Financial Reporting,True,55,72,9,15,All Levels,3.5 hours,Business Finance
2790,Piano for Singer/Songwriters | Write Songs and Perform Live!,True,100,3371,175,42,Beginner Level,3 hours,Musical Instruments
2916,Professional Trading With Institutional Supply & Demand,True,200,343,84,37,All Levels,5.5 hours,Business Finance
3424,"Trading Mindset, and Three Steps To Profitable Trading",True,20,246,8,24,Beginner Level,1.5 hours,Business Finance
1420,Gana en la Bolsa con Análisis Técnico,True,25,91,11,35,Beginner Level,8.5 hours,Business Finance
1516,Guitar Looper Basic Training,True,45,64,13,15,All Levels,1.5 hours,Musical Instruments
554,Bookkeeping to Command Senior Bookkeeping Wages,True,55,683,16,58,All Levels,4.5 hours,Business Finance
608,Build A YouTube Downloader With C# And GitHub,True,20,385,39,32,Intermediate Level,2.5 hours,Web Development
3078,Short Selling: Learn To Sell Stocks Before The Fall,True,75,2276,106,19,Intermediate Level,1.5 hours,Business Finance
298,AngularJS Authentication: Secure Your App with Auth0,False,Free,21689,1080,13,All Levels,1 hour,Web Development
3472,Typescript Masterclass & FREE E-Book,True,150,1229,139,108,All Levels,7.5 hours,Web Development
3671,"YOU can Draw, Shade and Paint a Mixed Media Girl...today!",True,30,1249,44,19,Beginner Level,3 hours,Graphic Design
3529,Valuation of Goodwill for CA / CFA / CMA Exams,True,20,1509,0,9,All Levels,43 mins,Business Finance
667,Building Websites JavaScript and the DOM,True,120,17759,64,37,Beginner Level,3 hours,Web Development
2773,PHP Specialist (2017 Edition),True,100,197,11,53,Beginner Level,3.5 hours,Web Development
566,Bootstrap Basics: Program Responsive Websites,True,75,4743,393,28,All Levels,3 hours,Web Development
3469,Turn Your Photos Into Professional And Modern Artworks,True,20,1557,11,12,All Levels,1.5 hours,Graphic Design
2354,Learn To Draw - The COMIC BOOK STYLE,True,55,363,14,19,All Levels,2 hours,Graphic Design
58,A Beginners Guide to creating Vector Graphics With Photoshop,True,20,1207,5,19,Beginner Level,2 hours,Graphic Design
3409,Trading Binary Options for Fun and Profit,True,20,1574,24,46,All Levels,2 hours,Business Finance
3650,Write a Successful Business Grant Proposal,True,20,6,0,23,Beginner Level,2.5 hours,Business Finance
2373,Learn To Play Guitar Complete Beginners Quick Start,True,20,75,0,11,Beginner Level,1 hour,Musical Instruments
386,Automate Web Development With Gulp JS,True,20,2784,425,29,All Levels,3.5 hours,Web Development
3,#4 Piano Hand Coordination: Fun Piano Runs in 2 Beats C Key,True,75,850,3,43,Intermediate Level,1 hour,Musical Instruments
2822,Piano With Willie: Jazz Kids - Vol 2,True,40,17,0,38,Beginner Level,3 hours,Musical Instruments
981,CSSCasts; CSS libraries Plugins Tips & Tricks for Developers,True,200,1874,40,224,All Levels,44.5 hours,Web Development
175,Adobe Indesign CC Başlangıç,False,Free,637,21,22,Beginner Level,2.5 hours,Graphic Design
2567,Mastering Meteor: Reactive Full Stack JavaScript,True,95,494,46,37,Expert Level,3 hours,Web Development
3020,Rhythm to Rock Drum Lesson 5,True,20,13,3,9,Beginner Level,1 hour,Musical Instruments
2976,R Graph Essentials,True,85,105,4,41,All Levels,2 hours,Graphic Design
1840,Instant Harmonica - play the cool tune Dirty Old Town now!,True,40,42,8,17,All Levels,1.5 hours,Musical Instruments
1526,Guitar:Play 5 Easy Christmas Chord Progressions On Guitar,True,50,383,4,9,Beginner Level,1 hour,Musical Instruments
3528,Uso Básico de Adobe Photoshop,True,20,1,0,27,Beginner Level,1 hour,Graphic Design
3476,Typographic Poster Design - From Sketch to Vector,True,45,36,5,20,Intermediate Level,1.5 hours,Graphic Design
88,ABC do Adobe Illustrator,True,35,115,15,56,Beginner Level,5.5 hours,Graphic Design
2661,Old-Time Banjo for the Absolute Beginner,True,25,192,21,17,Beginner Level,1.5 hours,Musical Instruments
2136,Learn Beethoven's Fur Elise on Piano,True,20,1582,11,6,All Levels,29 mins,Musical Instruments
2357,Learn to improvise on your harmonica - in nice easy steps,True,35,98,1,15,Beginner Level,2 hours,Musical Instruments
2265,Learn Oud 1 (No Prior Music Knowledge Required!),True,20,153,27,38,Beginner Level,3.5 hours,Musical Instruments
3525,Using MODX CMS to Build Websites: A Beginner's Guide,True,45,901,36,20,Beginner Level,2 hours,Web Development
3478,Typography Design: Learn Web Typography The Practical Way,True,20,970,9,34,Beginner Level,2 hours,Graphic Design
1537,HARP&SOUL  |  Learn the Secrets of the Harmonica,True,35,114,8,59,All Levels,2 hours,Musical Instruments
337,Aprende a tocar el violín desde cero,True,50,17,1,22,All Levels,2.5 hours,Musical Instruments
2,#12 Hand Coordination: Let your Hands dance with Ballad 9,True,75,482,1,47,Intermediate Level,1.5 hours,Musical Instruments
965,CryptoArbitrager: Bitcoin Trading Robot (no mining),True,150,1224,42,14,All Levels,33 mins,Business Finance
1355,Forex Trading MAKE YOUR FIRST TRADE TODAY!,True,150,3523,46,45,All Levels,4 hours,Business Finance
